,Address,Bathrooms,Bedrooms,Designation,Price
137,"NSIMEYONG, Nsimeyong, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement à Nsimeyong                    
","CFA  120,000"
138,"OYOM ABANG, Oyom Abang, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        APPARTEMENT A LOUER A OYOMABANG                    
","CFA  100,000"
139,"NKOLDONGO, Nkolndongo, Yaoundé, Centre",1 Salles de bain,2 Chambres,"

                        Appartement à Nkoldongo                    
","CFA  100,000"
140,"TAM TAM, Biyem-Assi, Yaoundé, Centre",1 Salles de bain,1 Chambres,"

                        STUDIO MODERNE ET NEUF A TAM TAM                    
","CFA  70,000"
141,"DAMASE, Damase, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement à Louer à Damase                    
","CFA  150,000"
142,"mimboman, Mimboman, Yaoundé, Centre",1 Salles de bain,1 Chambres,"

                        Studio De Standing À Mimboman                    
","CFA  55,000"
143,"Bonapriso, Douala, Littoral",1 Salles de bain,1 Chambres,"

                        studio à louer à bonapriso                    
",Prix : Contactez le vendeur
144,"BIYEM ASSI, Biyem Assi, Yaoundé, Centre",1 Salles de bain,1 Chambres,"

                        Studio Moderne à Biyem Assi                    
","CFA  60,000"
145,"NSIMEYONG, Nsimeyong, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement à Nsimeyong                    
","CFA  120,000"
146,"rue kotto avant eco marche, Bonapriso, Douala, Littoral",2 Salles de bain,2 Chambres,"

                        Maison 02 Pièces à Deido                    
","CFA  250,000"
147,"BASTOS, Bastos, Yaoundé, Centre",3 Salles de bain,3 Chambres,"

                        Appartement Haut Standing à Bastos                    
","CFA  400,000"
148,"CITEE VERTE, Cité verte, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        APPARTEMENT DE TRES HAUT STANDING  A LOUER A LA CITEE VERTE                    
","CFA  130,000"
149,"Biyem-Assi, Yaoundé, Centre",1 Salles de bain,2 Chambres,"

                        Appartement de 2 Chambres Tkc.                    
","CFA  70,000"
150,"TAM TAM, Biyem-Assi, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement 03 Pièces à Tam Tam                    
","CFA  125,000"
151,"Bonamoussadi, Douala, Littoral",NA,3 Pièces (nombre total),"

                        Studio à Bonamoussadi                    
","CFA  50,000"
152,"Douala, Littoral",NA,,"

                        Appartement a Noedy                    
",Prix : Contactez le vendeur
153,"FANDENA, Omnisports, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement 03 Pièces à Omnisports                    
","CFA  300,000"
154,"Biyem-Assi, Yaoundé, Centre",1 Salles de bain,2 Chambres,"

                        Appartement À La Montée Des Sœurs                    
","CFA  90,000"
155,"732 Rue Toyota Face Clinique IDIMED, Bonapriso, Douala, Littoral",3 Salles de bain,2 Chambres,"

                        Appartement Meublé de Luxe à Louer                    
",Prix : Contactez le vendeur
156,"MENDONG, Mendong, Yaoundé, Centre",2 Salles de bain,3 Chambres,"

                        Appartement Haut Standing  à Mendong Maetur                    
","CFA  250,000"
157,"DAMASE, Damase, Yaoundé, Centre",2 Salles de bain,2 Chambres,"

                        Appartement à Damase                    
","CFA  100,000"
